"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.3","","","","1"
"2014","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.5","","","","1"
"2015","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.7","","","","1"
"2016","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.7","","","","1"
"2017","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.8","","","","1"
"2018","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.8","","","","1"
"2019","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.8","","","","1"
"2020","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","40.9","","","","1"
"2021","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","41.1","","","","1"
"2022","Canada","2016A000011124","Both sexes","Median age","Years","308","units","0","v466689","1.1.105","41.0","","","","1"


