"REF_DATE","GEO","DGUID","Institutional sector","Asset","Dwelling type","Housing Type","Prices","Estimate","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","150","","","","0"
"2011","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","153","","","","0"
"2012","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","161","","","","0"
"2013","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","160","","","","0"
"2014","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","163","","","","0"
"2015","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","171","","","","0"
"2016","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","181","","","","0"
"2017","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","187","","","","0"
"2018","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","188","","","","0"
"2019","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","188","","","","0"
"2020","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","197","","","","0"
"2021","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","227","","","","0"
"2022","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","205","","","","0"
"2002","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1110","","","","0"
"2003","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1183","","","","0"
"2004","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1269","","","","0"
"2005","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1430","","","","0"
"2006","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1642","","","","0"
"2007","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1826","","","","0"
"2008","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1672","","","","0"
"2009","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","2027","","","","0"
"2010","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","2001","","","","0"
"2011","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1843","","","","0"
"2012","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1914","","","","0"
"2013","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","1827","","","","0"
"2014","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","2151","","","","0"
"2015","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","2218","","","","0"
"2016","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","2338","","","","0"
"2017","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","2519","","","","0"
"2018","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","2888","","","","0"
"2019","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","2988","","","","0"
"2020","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","3306","","","","0"
"2021","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","3635","","","","0"
"2022","Canada","2021A000011124","General government","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193378","1.4.1.1.1.2.1","3147","","","","0"
"2002","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","95522","","","","0"
"2003","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","98738","","","","0"
"2004","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","107734","","","","0"
"2005","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","111497","","","","0"
"2006","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","114615","","","","0"
"2007","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","121010","","","","0"
"2008","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","114695","","","","0"
"2009","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","106914","","","","0"
"2010","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","116188","","","","0"
"2011","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","118350","","","","0"
"2012","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","124862","","","","0"
"2013","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","123920","","","","0"
"2014","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","126198","","","","0"
"2015","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","131318","","","","0"
"2016","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","136910","","","","0"
"2017","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","140607","","","","0"
"2018","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","139489","","","","0"
"2019","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","138206","","","","0"
"2020","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","144216","","","","0"
"2021","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","165387","","","","0"
"2022","Canada","2021A000011124","Households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193393","1.5.1.1.1.2.1","148057","","","","0"
"2002","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","327","","","","0"
"2003","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","460","","","","0"
